CODFILIAL;CODPROD;DESCRICAO;DTULTENT;VALORULTENT;QTULTENT
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;2021-07-16;4,48519;144
1;254;NINHO FRUTI MORANGO 8X250G;2021-07-16;2,890929;320
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;2021-07-16;2,036303;1200
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;2021-07-16;2,036308;1920
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;2021-07-16;4,956156;672
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;2021-07-16;6,269734;672
1;180;NINHO IOGURTE POLPA 6X540G;2021-07-16;3,318957;7650
1;183;CHAMBINHO PETIT MOR 16X320G;2021-07-16;4,096837;2688
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;2021-07-16;1,802319;1960
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;2021-07-16;1,498948;840
1;199;IOGURTE NESTLE NATURAL 28X170G;2021-07-16;1,498951;1120
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;2021-07-16;1,498942;560
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;2021-07-16;1,498942;560
1;204;NESTLE FLAN CARAMELO 20X200G;2021-07-16;2,175444;200
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;2021-07-16;5,620339;180
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;2021-07-16;4,064883;1365
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;2021-07-16;4,064897;585
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;2021-07-16;1,638019;1440
1;288;NINHO IOGURTE MORANGO 24X170G;2021-07-16;1,638019;1440
1;295;PALLET ;2021-07-08;25,2;86
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;2021-07-16;3,108391;2880
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;2021-07-16;3,030135;480
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;2021-07-16;3,030156;240
1;450;CHANDELLE CHOCOLATE 24X180G;2021-07-16;2,64256;480
1;451;CHAMBINHO CHOCOLATE 16X320G;2021-07-16;3,583524;768
1;453;CHANDELLE CHOCOLATE 18X360G;2021-07-16;4,19932;360
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;2021-07-16;3,279319;420
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;2021-07-16;1,243635;1440
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;2021-07-16;5,620339;180
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;2021-07-16;1,468563;552
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;2021-07-16;1,335094;1920
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;2021-07-16;5,474063;504
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;2021-07-16;4,48519;144
1;1509;NESTLE IOGURTE MORANGO 24X170G;2021-07-16;1,335098;2400
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;2021-07-16;7,198749;960
1;1511;NESTLE IOGURTE MORANGO 12X900G;2021-07-16;5,47408;1176
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;2021-07-16;7,198756;600
1;1521;CHAMYTO GO IOG LIQ MORANGO 24X100G;2021-07-16;1,468563;552
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;2021-07-16;1,36626;432
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;2021-07-16;1,932267;480
1;2373;NINHO IOGURTE POLPA 6X720G;2021-07-16;5,453459;216
1;1697;CHANDELLE CHOCOLATE 6X720G;2021-07-16;6,383532;120
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;2021-07-16;2,869882;7830
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;2021-07-16;2,86988;1980
1;2455;MOLICO IOGURTE LIQ BAUN 24X170G;2021-07-16;1,724823;480
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;2021-07-16;1,36626;432
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;2021-07-16;1,36626;432
1;1941;NESTLE GREGO TRADICIONAL 24X90G;2021-07-16;1,36626;432
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;2021-07-16;7,189961;168
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;2021-07-16;1,724823;480
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;2021-07-16;7,313319;168
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;2021-07-16;7,313319;168
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;2021-07-16;7,313319;168
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;2021-07-16;1,932267;480
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;2021-07-16;1,932267;480
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;2021-07-16;1,36626;432
1;2664;MOLICO IOGURTE LIQ BAUN 12X850G;2021-07-16;7,189961;168
